Station,Station Code,Observed Range of Water Level
Adgaon-1,200221073521101,11.60
Ajang,203800074264101,15.60
Ambapur-Shivar,201623073311401,6.49
Baragaon Pimpri,195041074050001,9.20
Chachadgaon,201215073404501,10.09
Chandwad,201530074141501,12.00
Chikhalohol,203600074380001,10.74
Dabhadi,203200074340001,6.99
Dahalewadi,195300073270001,5.80
Dahigaon_Pz,201700074264501,44.90
Dahiwal,203200074413001,15.54
Dalwat,203230073493801,7.50
Deola-1,202750074110201,14.50
Deolali,195400073490001,9.80
Dhondegaon,200430073364501,10.70
Dhotarkheda,201333074032901,12.10
Dindori,201200073490001,10.50
Gangawadi,200500073400001,6.20
Gosrane,203000073553201,25.30
Harsul,200600073230001,1.40
Igatpuri_Pz,194142073341501,30.00
Jaikheda,204733074121201,24.50
Jalgaon,200350074064001,11.24
Jalgaon(Ni),202400074290001,9.99
Jhodga,203950074404001,7.80
Kalwan,202933074021801,24.30
Karanjagavan,203800074323001,8.50
Khambale,194300073380001,3.10
Khopdi Bk,195028074063501,5.00
Kokanwadi,201730074401501,7.90
Kone,200410073315001,8.99
Malwadi-1,194624074050501,11.60
Manmad-1,201530074260401,4.50
Marhal Kh,194648074105601,11.20
Matori,200314073443301,18.50
Mhasrul,200248073482801,6.20
Mukhane,194830073391501,6.99
Nalegaon,201036073420001,8.60
Nampur,204330074183001,40.50
Nampur-1,204358074185601,28.50
Nandgaon,201830074393001,9.20
Nandur Shirgate,194300074080001,9.99
Nashik_city-I,200041073474501,8.80
Nashik_city-II,195858073481501,4.40
Pate,200848073340601,3.60
Pathre Bk,194947074200801,4.30
Peth,201537073303001,2.30
Pimpalgaon Baswant,201015073590001,11.50
Pimpalkothe,204937074082801,20.69
Pimplas(Rama che)2,200400074024502,13.49
Raigarh Nagar,195320073414501,3.80
Raslapur,200415074053001,9.60
Ravalgaon,203800074241501,5.50
Ravalgaon_Pz,203200074230001,38.08
Sakora,202800073590001,20.49
Saraste,200723073300901,7.99
Satana,203600074121501,22.40
Savargaon,202127074274001,9.40
Shinde-1,195445073540401,9.49
Sinnar,195000074000001,13.50
Sogras,201800074070001,5.30
Talegaon,200839073491001,9.49
Thengode_Pz,203116074120001,20.30
Tinghri_Pz,204430074333901,29.90
Toharabad,204630074080001,17.71
Toharabad-1,204656074083001,7.40
Trimbakeswar,195715073313001,1.70
Umrale Bk,201145073430601,7.90
Umrane-1,202519074210001,16.30
Vani,201945073530001,4.50
Vasali,193800073440001,15.99
Vavi-1,194814074145601,15.70
Vinchur-1,200611074133201,3.50
Vinchur_Pz,200630074133001,45.00
Virgaon,204137074084301,29.90
Wadgaon Pingla,195222073525201,13.60
Wadholi,195720073364601,5.50
