Station,Station Code,Observed Range of Water Level
Adgaon-1,200221073521101,5.00
Ajang,203800074264101,4.00
Ambapur-Shivar,201623073311401,2.05
Baragaon Pimpri,195041074050001,3.50
Chachadgaon,201215073404501,2.50
Chandwad,201530074141501,3.35
Chikhalohol,203600074380001,3.00
Dabhadi,203200074340001,2.70
Dahalewadi,195300073270001,0.50
Dahigaon_Pz,201700074264501,8.80
Dahiwal,203200074413001,1.00
Dalwat,203230073493801,0.60
Deola-1,202750074110201,10.20
Deolali,195400073490001,1.40
Dhondegaon,200430073364501,3.25
Dhotarkheda,201333074032901,4.10
Dindori,201200073490001,2.00
Gangawadi,200500073400001,1.35
Gosrane,203000073553201,4.30
Harsul,200600073230001,1.50
Igatpuri_Pz,194142073341501,1.60
Jaikheda,204733074121201,20.10
Jalgaon,200350074064001,6.40
Jhodga,203950074404001,0.60
Kalwan,202933074021801,10.45
Karanjagavan,203800074323001,1.00
Karanjali,201515073350601,0.75
Khambale,194300073380001,1.55
Khopdi Bk,195028074063501,2.10
Kokanwadi,201730074401501,4.70
Kone,200410073315001,2.00
Lakhamapur_Pz,203320074205501,2.30
Malwadi-1,194624074050501,9.10
Manmad-1,201530074260401,0.60
Marhal Kh,194648074105601,4.15
Matori,200314073443301,3.70
Mhasrul,200248073482801,1.25
Mukhane,194830073391501,1.00
Nalegaon,201036073420001,0.60
Nampur,204330074183001,4.50
Nampur-1,204358074185601,9.50
Nandgaon,201830074393001,1.85
Nandur Shirgate,194300074080001,1.40
Nashik_city-I,200041073474501,6.55
Nashik_city-II,195858073481501,3.80
Pandurli_Pz,195445073511501,4.00
Pate,200848073340601,1.20
Pathre Bk,194947074200801,0.80
Peth,201537073303001,0.01
Pimpalgaon Baswant,201015073590001,2.80
Pimpalkothe,204937074082801,2.15
Pimplas(Rama che)2,200400074024502,6.10
Raigarh Nagar,195320073414501,0.55
Raslapur,200415074053001,2.30
Ravalgaon,203800074241501,7.00
Ravalgaon_Pz,203200074230001,8.90
Sakora,202800073590001,8.80
Saraste,200723073300901,1.40
Satana,203600074121501,16.90
Savargaon,202127074274001,3.20
Shinde-1,195445073540401,2.65
Sinnar,195000074000001,6.00
Sogras,201800074070001,3.00
Talegaon,200839073491001,1.75
Thengode_Pz,203116074120001,10.20
Tinghri_Pz,204430074333901,1.70
Toharabad,204630074080001,3.60
Toharabad-1,204656074083001,3.50
Trimbakeswar,195715073313001,0.80
Umrale Bk,201145073430601,1.50
Umrane-1,202519074210001,5.00
Vani,201945073530001,3.00
Vasali,193800073440001,3.80
Vavi-1,194814074145601,5.35
Vinchur-1,200611074133201,3.80
Vinchur_Pz,200630074133001,4.20
Virgaon,204137074084301,16.20
Wadgaon Pingla,195222073525201,5.10
